timestamp,TGS826,TGS2611,TGS2603,TGS813,TGS822,TGS2602,TGS823,temperatura,pressao,umidade,c_type,culture_day
1623262032.8509283,84730.0,7242.0,6363.0,41390.0,2592.0,20450.0,7847.0,61.13,99.91,11.24,5,2
1623262034.6818235,29360.0,7235.0,13490.0,40910.0,1454.0,8613.0,6420.0,61.15,73.44,10.21,5,2
1623262035.2774525,21420.0,22200.0,16510.0,39560.0,769.3,3573.0,4556.0,61.2,73.21,10.03,5,2
1623262035.8476875,18970.0,33540.0,16870.0,38720.0,490.6,2228.0,3655.0,61.24,73.56,10.23,5,2
1623262036.4476583,18400.0,39380.0,16990.0,38070.0,375.1,1711.0,3262.0,61.28,73.21,10.22,5,2
1623262037.0542452,18590.0,42400.0,17200.0,37820.0,322.3,1462.0,3078.0,61.33,73.6,10.26,5,2
1623262037.676767,19150.0,44040.0,17440.0,37660.0,299.7,1331.0,2997.0,61.33,73.48,10.26,5,2
1623262038.2705903,19780.0,45070.0,17670.0,37600.0,289.6,1255.0,2961.0,61.33,73.44,10.41,5,2
1623262038.8476532,20370.0,45750.0,17870.0,37530.0,284.8,1210.0,2944.0,61.39,73.48,10.39,5,2
1623262039.4481113,20970.0,46230.0,18030.0,37530.0,286.0,1185.0,2941.0,61.39,73.44,10.45,5,2
1623262040.0533447,21450.0,46590.0,18150.0,37600.0,289.0,1170.0,2944.0,61.37,73.48,10.44,5,2
1623262040.6774957,21870.0,46900.0,18230.0,37690.0,290.8,1167.0,2952.0,61.4,73.44,10.42,5,2
1623262041.2686715,22280.0,47110.0,18310.0,37660.0,293.7,1166.0,2958.0,61.4,73.21,10.54,5,2
1623262041.8477063,22600.0,47320.0,18350.0,37820.0,297.3,1170.0,2969.0,61.37,73.33,10.49,5,2
1623262042.448285,22860.0,47440.0,18390.0,37880.0,300.9,1178.0,2981.0,61.39,73.29,10.6,5,2
1623262043.0517952,23150.0,47570.0,18430.0,38070.0,305.0,1186.0,2995.0,61.35,73.29,10.56,5,2
1623262043.675716,23350.0,47650.0,18440.0,38260.0,310.4,1196.0,3006.0,61.33,73.48,10.43,5,2
1623262044.265165,23550.0,47730.0,18470.0,38360.0,311.0,1207.0,3020.0,61.37,73.64,10.43,5,2
1623262044.8554497,23750.0,47800.0,18510.0,38560.0,315.1,1217.0,3032.0,61.31,73.33,10.43,5,2
1623262045.4479356,23880.0,47850.0,18520.0,38790.0,316.3,1226.0,3039.0,61.34,73.36,10.55,5,2
1623262046.0493534,24030.0,47910.0,18540.0,38750.0,318.7,1235.0,3051.0,61.33,73.36,10.42,5,2
1623262046.6764207,24140.0,47920.0,18590.0,38950.0,321.1,1243.0,3061.0,61.3,73.4,10.4,5,2
1623262047.2673168,24270.0,47960.0,18580.0,39090.0,322.9,1251.0,3070.0,61.29,73.52,10.32,5,2
1623262047.8545334,24340.0,47960.0,18590.0,39250.0,324.7,1257.0,3079.0,61.25,73.4,10.4,5,2
1623262048.4481163,24460.0,48000.0,18610.0,39390.0,325.9,1264.0,3088.0,61.25,73.4,10.51,5,2
1623262049.0513132,24540.0,48030.0,18630.0,39360.0,325.3,1268.0,3091.0,61.25,73.29,10.43,5,2
1623262049.6764,24590.0,48050.0,18650.0,39630.0,328.3,1274.0,3100.0,61.24,73.52,10.5,5,2
1623262050.259958,24670.0,48080.0,18680.0,39700.0,327.1,1277.0,3105.0,61.22,73.44,10.52,5,2
1623262050.853335,24730.0,48110.0,18700.0,39800.0,327.7,1281.0,3110.0,61.21,73.4,10.5,5,2
1623262051.447838,24810.0,48120.0,18720.0,40080.0,331.3,1284.0,3121.0,61.15,73.36,10.48,5,2
1623262052.0545294,24880.0,48130.0,18730.0,40220.0,331.3,1288.0,3125.0,61.17,73.68,10.35,5,2
1623262052.6780744,24900.0,48160.0,18770.0,40290.0,332.5,1290.0,3130.0,61.15,73.56,10.37,5,2
1623262053.2574055,24950.0,48210.0,18800.0,40400.0,332.5,1290.0,3133.0,61.11,73.33,10.44,5,2
1623262053.8476467,24950.0,48210.0,18820.0,40540.0,333.1,1293.0,3138.0,61.11,73.21,10.33,5,2
1623262054.4539287,25050.0,48210.0,18840.0,40690.0,333.1,1295.0,3144.0,61.08,73.68,10.47,5,2
1623262055.672276,25440.0,48600.0,18610.0,39910.0,332.5,1296.0,3113.0,61.24,99.68,11.15,5,2
1623262056.2568126,26940.0,48390.0,18900.0,41200.0,339.6,1306.0,3161.0,61.21,99.87,12.23,5,2
1623262056.8833947,28370.0,48210.0,19230.0,42420.0,342.0,1310.0,3205.0,61.17,99.95,12.82,5,2
1623262058.0489416,29930.0,47850.0,19740.0,43740.0,349.8,1311.0,3270.0,61.13,99.99,13.17,5,2
1623262058.6716597,30590.0,47680.0,19960.0,44240.0,353.4,1313.0,3301.0,61.11,99.87,13.27,5,2
1623262059.2515922,31030.0,47480.0,20190.0,44580.0,353.4,1314.0,3334.0,61.1,99.95,13.11,5,2
1623262059.8478315,31330.0,47320.0,20380.0,44840.0,357.7,1317.0,3357.0,61.07,99.83,13.11,5,2
1623262060.4476178,31620.0,47160.0,20540.0,45060.0,360.7,1321.0,3382.0,61.06,99.91,13.1,5,2
1623262061.0511978,31750.0,47040.0,20690.0,45100.0,361.3,1324.0,3403.0,61.06,99.79,12.98,5,2
1623262061.6740034,31890.0,46880.0,20820.0,45060.0,363.7,1328.0,3424.0,61.03,99.87,12.97,5,2
1623262062.2492907,32060.0,46750.0,20930.0,45190.0,366.1,1334.0,3444.0,61.02,99.91,13.23,5,2
1623262062.8819685,32120.0,46630.0,21020.0,45150.0,366.1,1338.0,3460.0,61.02,99.95,12.97,5,2
1623262063.4481623,32210.0,46560.0,21110.0,45100.0,366.7,1342.0,3475.0,60.99,99.87,12.93,5,2
1623262064.054682,32320.0,46450.0,21190.0,45060.0,370.3,1349.0,3491.0,61.01,99.83,12.97,5,2
1623262064.670573,32350.0,46360.0,21270.0,44970.0,369.7,1354.0,3505.0,60.99,99.83,12.89,5,2
1623262065.3382986,32550.0,46250.0,21320.0,44840.0,372.1,1359.0,3519.0,60.99,99.95,12.92,5,2
1623262065.849399,32620.0,46180.0,21380.0,44760.0,374.5,1365.0,3533.0,60.98,99.83,12.89,5,2
1623262066.4484494,32730.0,46110.0,21440.0,44540.0,375.1,1370.0,3543.0,60.99,99.87,12.94,5,2
1623262067.0561965,32880.0,45990.0,21490.0,44460.0,376.9,1376.0,3557.0,60.97,99.91,12.91,5,2
1623262067.670123,32870.0,45920.0,21550.0,44330.0,376.9,1381.0,3568.0,60.97,99.79,12.83,5,2
1623262068.362464,33080.0,45790.0,21600.0,44160.0,378.8,1387.0,3580.0,60.97,99.87,12.74,5,2
1623262068.9091585,33200.0,45670.0,21650.0,43990.0,379.4,1391.0,3590.0,60.97,99.91,12.95,5,2
1623262069.4479394,33290.0,45620.0,21680.0,43870.0,380.6,1397.0,3601.0,60.98,99.91,12.67,5,2
1623262070.052508,33430.0,45510.0,21740.0,43660.0,381.8,1401.0,3609.0,60.97,99.87,12.76,5,2
1623262070.668677,33560.0,45410.0,21790.0,43500.0,383.6,1406.0,3623.0,60.97,99.87,12.79,5,2
1623262071.2687185,33720.0,45320.0,21820.0,43370.0,383.6,1411.0,3632.0,60.97,99.95,12.71,5,2
1623262071.9091432,33800.0,45220.0,21880.0,43210.0,384.8,1417.0,3643.0,60.95,99.83,12.71,5,2
1623262072.447498,33910.0,45130.0,21890.0,43050.0,385.4,1421.0,3652.0,60.94,99.79,12.72,5,2
1623262073.0561626,33900.0,45020.0,21930.0,42810.0,386.6,1426.0,3663.0,60.94,99.87,12.55,5,2
1623262073.668864,34170.0,44950.0,21980.0,42810.0,387.8,1431.0,3672.0,60.97,99.95,12.74,5,2
1623262074.334119,34300.0,44840.0,22040.0,42530.0,389.0,1436.0,3681.0,60.95,99.87,12.78,5,2
1623262074.9064088,34400.0,44720.0,22070.0,42300.0,390.8,1440.0,3692.0,60.95,99.87,12.59,5,2
1623262075.4477978,34510.0,44630.0,22110.0,42140.0,391.5,1445.0,3702.0,60.95,99.87,12.54,5,2
1623262076.0506413,34660.0,44510.0,22140.0,41950.0,392.1,1450.0,3709.0,60.95,99.91,12.69,5,2
1623262076.6654322,34790.0,44410.0,22190.0,41840.0,392.7,1455.0,3722.0,60.94,99.87,12.61,5,2
1623262077.3305457,34890.0,44290.0,22230.0,41610.0,393.9,1461.0,3732.0,60.97,99.95,12.64,5,2
1623262077.9036825,35100.0,44200.0,22270.0,41460.0,394.5,1465.0,3739.0,60.95,99.87,12.73,5,2
1623262078.4478347,35050.0,44090.0,22300.0,41240.0,395.7,1470.0,3750.0,60.95,99.83,12.69,5,2
1623262079.0485442,35210.0,43980.0,22340.0,41160.0,397.5,1475.0,3758.0,60.95,99.83,12.7,5,2
1623262079.664737,35410.0,43860.0,22380.0,40980.0,397.5,1479.0,3769.0,60.94,99.87,12.58,5,2
1623262080.3288412,35500.0,43760.0,22400.0,40800.0,398.7,1484.0,3781.0,60.95,99.87,12.62,5,2
1623262080.9000356,35540.0,43660.0,22440.0,40620.0,400.5,1489.0,3787.0,60.95,99.95,12.66,5,2
1623262081.4491775,35710.0,43550.0,22480.0,40470.0,402.4,1494.0,3797.0,60.97,99.99,12.54,5,2
1623262082.051715,35830.0,43450.0,22500.0,40330.0,404.2,1500.0,3805.0,60.97,99.99,12.45,5,2
1623262082.6568563,36000.0,43320.0,22550.0,40150.0,404.2,1504.0,3814.0,60.95,99.91,12.53,5,2
1623262083.3248265,36070.0,43210.0,22570.0,40050.0,405.4,1510.0,3825.0,60.95,99.99,12.61,5,2
1623262083.8963652,36280.0,43110.0,22640.0,39800.0,407.2,1512.0,3833.0,60.95,99.83,12.64,5,2
1623262084.4476993,36470.0,42980.0,22650.0,39700.0,407.2,1520.0,3844.0,60.97,99.99,12.57,5,2
1623262085.054191,36640.0,42880.0,22660.0,39560.0,408.4,1526.0,3853.0,60.94,99.95,12.47,5,2
1623262085.6590178,36660.0,42760.0,22710.0,39420.0,409.7,1530.0,3860.0,60.95,99.83,12.7,5,2
1623262086.3213933,36770.0,42650.0,22750.0,39190.0,410.3,1534.0,3870.0,60.95,99.87,12.42,5,2
1623262086.89353,36900.0,42550.0,22770.0,39120.0,412.7,1541.0,3880.0,60.95,99.87,12.43,5,2
1623262087.4480605,37050.0,42420.0,22800.0,38950.0,413.9,1546.0,3889.0,60.95,99.83,12.49,5,2
1623262088.0621388,37150.0,42310.0,22840.0,38750.0,413.9,1551.0,3897.0,60.97,99.87,12.65,5,2
1623262088.654721,37280.0,42210.0,22860.0,38620.0,414.5,1557.0,3908.0,60.97,99.91,12.6,5,2
1623262089.319578,37430.0,42080.0,22890.0,38520.0,417.6,1563.0,3918.0,60.97,99.87,12.59,5,2
1623262089.890731,37470.0,41990.0,22930.0,38390.0,419.4,1569.0,3927.0,60.97,99.87,12.59,5,2
1623262090.447843,37620.0,41870.0,22960.0,38200.0,420.0,1573.0,3935.0,60.95,99.76,12.46,5,2
1623262091.0475764,37770.0,41740.0,22990.0,38040.0,420.0,1579.0,3944.0,60.98,99.91,12.52,5,2
1623262091.648299,37890.0,41610.0,23020.0,37940.0,421.2,1584.0,3954.0,60.97,99.87,12.62,5,2
1623262092.3190954,38090.0,41510.0,23040.0,37880.0,423.1,1591.0,3966.0,60.95,99.87,12.5,5,2
1623262092.8878124,38130.0,41430.0,23080.0,37690.0,423.7,1596.0,3974.0,60.97,99.79,12.45,5,2
1623262093.447946,38220.0,41280.0,23120.0,37530.0,424.9,1602.0,3985.0,60.98,99.87,12.48,5,2
1623262094.0474892,38400.0,41160.0,23130.0,37410.0,426.7,1608.0,3994.0,60.97,99.83,12.52,5,2
1623262094.647324,38550.0,41050.0,23170.0,37290.0,428.5,1615.0,4003.0,60.97,99.91,12.55,5,2
1623262095.3127463,38590.0,40900.0,23200.0,37190.0,429.8,1621.0,4012.0,60.98,99.99,12.48,5,2
1623262095.885661,38750.0,40820.0,23230.0,37040.0,430.4,1626.0,4022.0,60.98,99.87,12.57,5,2
1623262096.4490368,38870.0,40700.0,23250.0,37010.0,431.0,1634.0,4033.0,60.98,99.95,12.52,5,2
1623262097.0479298,39060.0,40590.0,23280.0,36830.0,434.0,1639.0,4044.0,60.97,99.79,12.32,5,2
1623262097.647366,39180.0,40440.0,23310.0,36740.0,435.3,1646.0,4053.0,60.98,99.91,12.33,5,2
1623262098.310118,39240.0,40360.0,23350.0,36590.0,436.5,1652.0,4063.0,60.98,99.79,12.36,5,2
1623262098.8815742,39410.0,40240.0,23360.0,36470.0,437.1,1659.0,4072.0,60.98,99.79,12.42,5,2
1623262099.4479485,39510.0,40090.0,23390.0,36380.0,438.3,1666.0,4083.0,61.01,99.91,12.4,5,2
1623262100.047772,39650.0,40000.0,23430.0,36210.0,438.9,1673.0,4093.0,60.99,99.91,12.54,5,2
1623262100.6894934,39840.0,39880.0,23460.0,36180.0,441.4,1679.0,4103.0,60.97,99.91,12.4,5,2
1623262101.3307226,40000.0,39770.0,23480.0,35950.0,443.2,1686.0,4113.0,60.98,99.95,12.37,5,2
1623262101.8787632,39930.0,39640.0,23510.0,35950.0,443.8,1692.0,4122.0,60.99,99.87,12.44,5,2
1623262102.4477012,40110.0,39530.0,23540.0,35830.0,443.8,1698.0,4134.0,60.99,99.79,12.46,5,2
1623262103.0489345,40310.0,39410.0,23570.0,35690.0,446.9,1706.0,4140.0,60.99,99.79,12.56,5,2
1623262103.6629915,40490.0,39310.0,23590.0,35550.0,448.1,1714.0,4153.0,61.01,99.91,12.55,5,2
1623262104.306837,40550.0,39180.0,23610.0,35520.0,449.3,1720.0,4164.0,60.99,99.87,12.46,5,2
1623262104.878635,40630.0,39070.0,23650.0,35410.0,450.6,1729.0,4175.0,61.01,99.87,12.46,5,2
1623262105.4481049,40730.0,38940.0,23670.0,35330.0,452.4,1735.0,4186.0,61.01,99.95,12.33,5,2
1623262106.0478358,40940.0,38820.0,23710.0,35240.0,454.3,1741.0,4196.0,60.99,99.83,12.5,5,2
1623262106.6610572,41010.0,38700.0,23720.0,35190.0,456.1,1749.0,4208.0,61.01,99.99,12.46,5,2
1623262107.3005648,41120.0,38600.0,23750.0,35020.0,457.3,1755.0,4217.0,61.02,99.79,12.43,5,2
1623262107.8731563,41220.0,38530.0,23780.0,34940.0,458.6,1763.0,4227.0,61.01,99.83,12.49,5,2
1623262108.4480832,41440.0,38360.0,23810.0,34910.0,459.8,1771.0,4240.0,61.02,99.83,12.44,5,2
1623262109.04816,41470.0,38260.0,23820.0,34780.0,461.0,1779.0,4251.0,61.02,99.95,12.37,5,2
1623262109.6735911,41620.0,38150.0,23830.0,34720.0,462.2,1786.0,4261.0,61.02,99.87,12.42,5,2
1623262110.2987037,41810.0,38040.0,23880.0,34590.0,465.3,1794.0,4270.0,61.02,99.87,12.39,5,2
1623262110.8721511,41890.0,37920.0,23900.0,34530.0,465.9,1801.0,4279.0,61.03,99.91,12.43,5,2
1623262111.4493823,42030.0,37800.0,23920.0,34430.0,467.8,1809.0,4292.0,61.03,99.87,12.48,5,2
1623262112.047724,42200.0,37690.0,23950.0,34370.0,469.6,1817.0,4304.0,61.03,99.95,12.58,5,2
1623262112.6735582,42270.0,37570.0,23980.0,34270.0,470.9,1825.0,4314.0,61.03,99.91,12.44,5,2
1623262113.2950847,42440.0,37450.0,24000.0,34160.0,472.7,1833.0,4324.0,61.03,99.87,12.3,5,2
1623262113.866109,42550.0,37340.0,24010.0,34140.0,475.2,1841.0,4336.0,61.03,99.83,12.34,5,2
1623262114.447967,42620.0,37240.0,24050.0,34030.0,475.2,1849.0,4348.0,61.06,99.99,12.47,5,2
1623262115.0480573,42840.0,37110.0,24080.0,33930.0,477.0,1857.0,4358.0,61.03,99.83,12.55,5,2
1623262115.6695027,42910.0,37000.0,24100.0,33800.0,478.9,1866.0,4364.0,61.03,99.79,12.46,5,2
1623262116.2947142,43020.0,36880.0,24120.0,33850.0,480.7,1873.0,4381.0,61.03,99.87,12.39,5,2
1623262118.0480075,43390.0,36490.0,24200.0,33540.0,486.9,1901.0,4417.0,61.06,99.91,12.43,5,2
1623262119.885649,43880.0,36120.0,24260.0,33370.0,491.2,1928.0,4452.0,61.04,99.09,12.38,5,2
1623262120.447999,43500.0,35720.0,24540.0,34670.0,497.4,1946.0,4509.0,60.92,66.84,11.96,5,2
1623262121.6653142,43670.0,33100.0,24660.0,30430.0,508.6,1952.0,4530.0,60.54,54.59,8.5,5,2
1623262122.2912283,46280.0,31530.0,24950.0,29090.0,524.7,1996.0,4615.0,60.41,54.27,8.03,5,2
1623262122.8846996,49110.0,30150.0,25340.0,28320.0,546.0,2064.0,4736.0,60.32,54.12,7.64,5,2
1623262123.4479122,50860.0,29320.0,25600.0,28010.0,559.1,2124.0,4830.0,60.26,54.2,7.61,5,2
1623262124.0478313,53240.0,28230.0,25920.0,27770.0,581.7,2222.0,4977.0,60.17,54.2,7.57,5,2
1623262124.6597042,55470.0,27210.0,26180.0,27630.0,603.8,2338.0,5119.0,60.09,54.04,7.41,5,2
1623262125.2820327,57340.0,26330.0,26330.0,27580.0,625.4,2464.0,5263.0,60.01,54.16,7.3,5,2
1623262125.8790815,58930.0,25520.0,26400.0,27580.0,647.1,2605.0,5406.0,59.92,54.2,7.2,5,2
1623262126.4481907,60280.0,24770.0,26370.0,27630.0,666.9,2752.0,5540.0,59.86,54.23,7.23,5,2
1623262127.0479383,61550.0,24090.0,26290.0,27630.0,688.8,2901.0,5657.0,59.8,54.0,7.35,5,2
1623262127.662551,62340.0,23450.0,26140.0,27720.0,706.8,3056.0,5765.0,59.76,54.08,7.0,5,2
1623262128.2805698,63040.0,22890.0,25890.0,27850.0,723.7,3208.0,5869.0,59.7,54.04,7.17,5,2
1623262128.8755534,63580.0,22370.0,25680.0,27940.0,739.9,3361.0,5956.0,59.64,54.27,7.07,5,2
1623262129.4491937,64100.0,21890.0,25440.0,28100.0,754.9,3508.0,6036.0,59.58,54.12,7.15,5,2
1623262130.0477958,64520.0,21460.0,25190.0,28120.0,768.7,3645.0,6107.0,59.53,54.12,7.09,5,2
1623262130.6579452,64840.0,21050.0,24950.0,28360.0,781.8,3776.0,6168.0,59.47,54.16,7.26,5,2
1623262131.27603,65090.0,20670.0,24740.0,28510.0,792.9,3892.0,6222.0,59.41,54.0,7.06,5,2
1623262131.8754354,65160.0,20380.0,24550.0,28630.0,805.5,4003.0,6271.0,59.37,54.0,7.19,5,2
1623262132.4494128,65520.0,20020.0,24390.0,28820.0,812.1,4101.0,6316.0,59.33,54.12,7.08,5,2
1623262133.0479865,65590.0,19730.0,24240.0,28930.0,822.0,4187.0,6352.0,59.31,54.2,6.92,5,2
1623262133.6556735,65740.0,19470.0,24120.0,29010.0,833.9,4262.0,6387.0,59.27,54.12,7.05,5,2
1623262134.2730474,65670.0,19230.0,24010.0,29250.0,837.9,4329.0,6417.0,59.24,54.0,7.21,5,2
1623262134.9679658,65670.0,18980.0,23910.0,29370.0,842.5,4387.0,6442.0,59.2,54.08,7.05,5,2
1623262135.446156,66180.0,18790.0,23850.0,29390.0,853.8,4436.0,6466.0,59.18,54.04,7.09,5,2
1623262136.0478692,66070.0,18590.0,23800.0,29590.0,859.8,4479.0,6489.0,59.13,54.16,7.04,5,2
1623262136.6497593,65590.0,18410.0,23760.0,29890.0,866.5,4519.0,6506.0,59.09,54.12,7.01,5,2
1623262137.2734928,66250.0,18210.0,23740.0,30020.0,869.2,4548.0,6523.0,59.06,54.0,7.11,5,2
1623262137.867475,66250.0,18080.0,23710.0,30180.0,875.2,4571.0,6539.0,59.03,54.0,6.98,5,2
1623262138.5111215,66250.0,17930.0,23710.0,30350.0,877.9,4593.0,6548.0,59.01,54.08,7.06,5,2
1623262139.0478325,66180.0,17810.0,23700.0,30430.0,880.5,4609.0,6560.0,58.98,54.04,7.05,5,2
1623262139.6539383,66250.0,17680.0,23710.0,30630.0,886.6,4624.0,6573.0,58.97,54.2,6.92,5,2
1623262140.2671676,66290.0,17580.0,23710.0,30760.0,889.3,4636.0,6579.0,58.96,54.12,6.97,5,2
1623262140.936838,66290.0,17470.0,23720.0,30910.0,890.6,4644.0,6587.0,58.92,54.08,6.95,5,2
1623262141.506418,66220.0,17340.0,23720.0,31040.0,896.0,4651.0,6599.0,58.9,54.04,7.1,5,2
1623262142.0477872,66220.0,17290.0,23750.0,31170.0,896.6,4656.0,6602.0,58.86,54.0,7.12,5,2
1623262142.6566136,66330.0,17190.0,23760.0,31350.0,898.7,4660.0,6609.0,58.84,54.08,6.96,5,2
1623262143.2681231,66440.0,17120.0,23760.0,31490.0,901.3,4664.0,6614.0,58.83,54.16,7.02,5,2
1623262143.9312108,66330.0,17030.0,23810.0,31550.0,904.0,4667.0,6618.0,58.8,54.04,7.05,5,2
1623262144.502674,66180.0,16980.0,23810.0,31760.0,906.7,4671.0,6622.0,58.77,54.04,6.96,5,2
1623262145.0477097,66440.0,16870.0,23810.0,31900.0,906.7,4676.0,6630.0,58.78,54.16,6.96,5,2
1623262145.6503174,66440.0,16820.0,23830.0,32060.0,910.1,4678.0,6631.0,58.76,54.2,6.88,5,2
1623262146.259883,66440.0,16720.0,23840.0,32080.0,911.4,4681.0,6638.0,58.71,54.0,7.09,5,2
1623262146.9290657,66330.0,16640.0,23850.0,32270.0,913.5,4684.0,6641.0,58.7,54.12,7.2,5,2
1623262147.500962,66440.0,16590.0,23850.0,32440.0,914.8,4690.0,6648.0,58.7,54.12,7.04,5,2
1623262148.0478685,66590.0,16530.0,23850.0,32560.0,920.2,4692.0,6651.0,58.68,54.04,6.9,5,2
1623262148.668613,66440.0,16450.0,23870.0,32650.0,918.9,4698.0,6653.0,58.7,54.04,6.93,5,2
1623262149.260463,66470.0,16400.0,23860.0,32780.0,920.2,4700.0,6656.0,58.67,54.2,6.99,5,2
1623262149.9267256,66550.0,16330.0,23860.0,32920.0,919.5,4706.0,6661.0,58.65,54.08,7.12,5,2
1623262150.498264,66730.0,16320.0,23890.0,32870.0,927.6,4708.0,6664.0,58.64,54.12,6.97,5,2
1623262151.0481586,66700.0,16220.0,23880.0,32950.0,924.9,4713.0,6669.0,58.64,54.12,7.06,5,2
1623262151.6735418,66700.0,16190.0,23870.0,33290.0,927.6,4726.0,6673.0,58.62,54.12,6.96,5,2
1623262152.25467,66660.0,16120.0,23880.0,33420.0,931.7,4729.0,6673.0,58.6,54.08,6.94,5,2
1623262152.9210274,66810.0,16080.0,23860.0,33490.0,931.7,4736.0,6679.0,58.6,54.04,6.97,5,2
1623262153.494285,66770.0,16030.0,23870.0,33600.0,927.6,4743.0,6682.0,58.58,54.04,6.97,5,2
1623262154.047917,66850.0,15980.0,23860.0,33700.0,933.0,4742.0,6687.0,58.57,54.08,6.98,5,2
1623262154.6488693,66920.0,15920.0,23870.0,33800.0,935.8,4748.0,6689.0,58.55,54.0,7.08,5,2
1623262155.2532997,66960.0,15890.0,23860.0,33900.0,935.8,4754.0,6689.0,58.55,54.16,7.05,5,2
1623262155.9197035,66810.0,15810.0,23840.0,34030.0,936.4,4760.0,6692.0,58.53,54.08,6.97,5,2
1623262156.4912558,67260.0,15790.0,23840.0,34160.0,941.9,4768.0,6701.0,58.52,54.12,6.94,5,2
1623262157.0476794,67030.0,15730.0,23830.0,34270.0,939.8,4774.0,6699.0,58.52,54.12,6.87,5,2
1623262157.6477983,67070.0,15720.0,23810.0,34320.0,941.2,4777.0,6704.0,58.52,54.08,7.02,5,2
1623262158.2514749,67150.0,15660.0,23810.0,34430.0,941.9,4783.0,6707.0,58.51,54.08,6.82,5,2
1623262158.9160924,67110.0,15630.0,23820.0,34530.0,945.9,4788.0,6707.0,58.51,54.12,7.03,5,2
1623262159.487971,67110.0,15610.0,23810.0,34590.0,945.9,4794.0,6712.0,58.48,54.2,7.07,5,2
1623262160.0481946,67150.0,15570.0,23810.0,34670.0,946.6,4799.0,6712.0,58.47,54.04,6.78,5,2
1623262160.6478286,67300.0,15550.0,23790.0,34830.0,947.3,4803.0,6717.0,58.46,53.96,6.97,5,2
1623262161.2580962,66920.0,15490.0,23790.0,34670.0,948.6,4808.0,6717.0,58.46,54.12,6.99,5,2
1623262161.9124207,67180.0,15430.0,23780.0,34970.0,949.3,4813.0,6719.0,58.43,54.04,6.89,5,2
1623262162.4852345,67300.0,15440.0,23790.0,35080.0,950.7,4816.0,6724.0,58.42,54.0,6.86,5,2
1623262163.0487318,67260.0,15410.0,23760.0,35190.0,952.7,4822.0,6724.0,58.42,54.12,6.99,5,2
1623262163.647888,67640.0,15400.0,23760.0,35270.0,952.0,4825.0,6727.0,58.4,54.0,6.96,5,2
1623262164.247474,67260.0,15350.0,23750.0,35350.0,950.0,4829.0,6727.0,58.4,54.12,6.91,5,2
1623262164.9106293,67490.0,15320.0,23760.0,35470.0,954.1,4835.0,6727.0,58.4,54.08,6.87,5,2
1623262165.4821432,67410.0,15280.0,23750.0,35550.0,954.7,4840.0,6734.0,58.4,54.04,6.98,5,2
1623262166.0479355,67340.0,15260.0,23730.0,35440.0,956.8,4845.0,6732.0,58.38,54.04,6.97,5,2
1623262166.6480725,67530.0,15190.0,23710.0,35660.0,956.8,4851.0,6732.0,58.38,54.08,6.94,5,2
1623262167.2825434,67490.0,15200.0,23710.0,35750.0,960.2,4855.0,6732.0,58.34,53.96,6.86,5,2
1623262167.9098947,67600.0,15170.0,23710.0,35830.0,958.8,4861.0,6737.0,58.32,54.12,6.97,5,2
1623262168.479492,67720.0,15140.0,23700.0,35890.0,958.8,4866.0,6737.0,58.32,54.0,6.86,5,2
1623262169.0490386,67490.0,15090.0,23700.0,35980.0,960.2,4871.0,6739.0,58.33,54.08,7.04,5,2
1623262169.6480486,67640.0,15030.0,23680.0,36030.0,962.2,4874.0,6745.0,58.32,54.0,6.96,5,2
1623262170.26343,67720.0,15060.0,23680.0,36120.0,965.6,4880.0,6744.0,58.3,53.92,7.12,5,2
1623262170.9067962,67680.0,15050.0,23660.0,36210.0,964.3,4887.0,6749.0,58.32,54.04,6.95,5,2
1623262171.4760218,67560.0,15020.0,23660.0,36210.0,966.3,4893.0,6749.0,58.3,54.12,6.95,5,2
1623262172.0479326,67640.0,14980.0,23640.0,36360.0,965.6,4899.0,6750.0,58.29,54.08,6.95,5,2
1623262172.6480494,67830.0,14960.0,23630.0,36380.0,965.6,4904.0,6752.0,58.29,54.0,6.99,5,2
1623262173.2594583,67790.0,14940.0,23620.0,36300.0,967.0,4905.0,6755.0,58.29,54.04,7.05,5,2
1623262173.902975,67870.0,14920.0,23610.0,36470.0,967.0,4912.0,6745.0,58.29,54.0,7.0,5,2
1623262174.4732518,67910.0,14920.0,23610.0,36590.0,968.4,4922.0,6762.0,58.29,54.04,6.97,5,2
1623262175.04804,67870.0,14880.0,23590.0,36680.0,969.7,4925.0,6762.0,58.29,54.2,6.92,5,2
1623262175.6480217,67950.0,14810.0,23580.0,36710.0,972.4,4932.0,6760.0,58.3,54.16,6.88,5,2
1623262176.2820506,67990.0,14830.0,23570.0,36800.0,971.8,4935.0,6765.0,58.27,54.08,7.02,5,2
1623262176.903396,67990.0,14810.0,23550.0,36800.0,972.4,4940.0,6760.0,58.28,54.08,6.88,5,2
1623262177.4703443,68100.0,14770.0,23560.0,36890.0,972.4,4946.0,6765.0,58.29,54.16,7.02,5,2
1623262178.0479035,67720.0,14730.0,23550.0,36920.0,973.8,4953.0,6779.0,58.3,54.08,7.04,5,2
1623262178.6481056,67990.0,14690.0,23550.0,36980.0,975.2,4947.0,6772.0,58.3,54.16,6.98,5,2
1623262179.2773535,68060.0,14690.0,23530.0,37040.0,975.9,4963.0,6764.0,58.32,54.08,7.09,5,2
1623262179.8946352,68060.0,14680.0,23530.0,37070.0,976.5,4968.0,6777.0,58.28,54.16,6.93,5,2
