68840,12090,21840,26630,1088,5000,6457,62.42,53.88,6.34,1,6
29950,48900,20600,43130,340.8,1219,3294,61.74,99.83,13.33,2,5
42550,33330,28870,22940,367.9,1199,4315,60.95,54.31,6.29,1,1
72130,25890,27340,49920,658.6,2855,5784,57.98,54.04,7.24,1,1
32370,46020,22570,38300,370.3,1302,3623,62.44,99.83,12.44,2,5
37930,29800,28320,16660,362.5,1272,4327,61.28,54.43,5.19,1,2
34880,29400,26960,16660,457.3,1587,4486,59.63,55.21,5.94,2,2
24200,49800,19250,23140,265.9,832.1,2764,63.82,99.95,11.54,2,1
86180,7277,6020,44970,3274,28380,7929,58.78,99.79,13.12,2,6
35700,48340,20450,26540,270.1,862.3,2932,61.89,100.11,12.45,1,1
40720,30070,29420,21650,458.6,1625,4864,59.42,55.33,6.13,2,4
38350,29570,27180,23510,511.1,1871,4808,59.41,55.6,5.92,2,2
16550,57240,16120,33620,245.9,786,2355,62.26,99.68,10.59,2,2
23850,54260,18460,29890,249.4,716.4,2558,63.47,99.95,11.34,1,5
38180,41290,21200,22180,311.6,1059,3212,62.14,53.88,7.32,1,5
48850,28720,29740,31740,511.7,1933,5239,61.83,54.39,6.02,2,1
52620,32980,29550,28360,395.1,1368,4591,59.66,54,7.05,1,1
50600,32950,27700,30870,424.9,1584,4583,60.25,53.92,6.79,1,5
22680,57670,16060,29950,213.7,616.8,2192,63.87,99.83,11.59,1,1
37990,54030,18650,43130,268.9,949.1,2799,60.54,100.11,12.82,1,1
41340,29350,29880,27630,477,1690,4999,58.55,55.41,6.04,2,4
80430,3814,13100,33470,2240,12550,7537,63.64,54.04,6.28,1,6
89340,7277,6270,49920,2793,21390,7829,40.73,100.07,31.32,2,6
22940,56420,17600,33950,243,705.7,2449,64.01,99.99,11.33,1,5
20830,49240,19080,21230,250,787.4,2695,61.57,100.15,10.89,2,4
26250,46070,21840,28760,334.9,1104,3336,61.78,99.76,10.81,2,3
29660,41660,22420,20700,308,971.2,3276,62.67,54.98,7.61,1,5
42080,33170,26350,36830,499.9,1982,4796,62.04,54.16,6.07,1,2
22110,50530,18550,35130,303.2,1111,2940,63.31,73.33,10.15,2,5
15330,56550,14700,37600,213.7,796.6,2200,65.7,73.56,8.81,2,1
53940,23610,27860,27430,633.1,2669,5692,60.98,54.04,6.56,2,5
39950,30080,28460,19440,426.1,1489,4583,61.73,54.47,6.23,2,1
46420,29760,29270,27860,485.7,1660,4880,60.61,54.7,6.08,1,5
19970,49430,17950,20670,258.9,824.7,2602,62.04,100.34,10.81,2,2
21680,37510,16250,10350,221.9,654.3,2249,62.74,54.43,6.06,1,2
20240,60920,13400,37320,205,707.9,1975,62.85,74.07,9.81,1,5
49420,33190,29030,30970,424.3,1497,4669,61.83,54.04,6.16,1,1
46780,30030,29320,27560,467.8,1594,4812,60.95,54.43,6.03,1,5
57480,21820,26800,32610,696.5,3154,5968,59,54.08,7.02,2,5
69040,12410,25630,30120,1054,4418,6794,61.91,99.72,8.81,2,3
34700,38520,24330,29590,423.7,1578,4126,63.12,99.99,9.84,2,3
78100,9374,17400,37010,1410,7719,6975,61.16,53.84,6.57,1,6
91650,7277,6026,46640,2990,24770,7912,36.81,100.07,37.7,2,6
36890,36300,25860,29630,396.9,1543,4293,62.14,54.27,5.97,1,2
28510,48560,20100,25580,280.7,895.7,2920,63.64,99.99,11.09,1,5
82180,7305,15210,38920,1712,9656,7215,61.83,54.04,6.28,1,6
16020,52330,15410,19560,233,691.9,2189,61.83,100.11,10.97,2,2
19540,46750,17520,16390,252.4,788.3,2516,61.91,99.72,10.85,2,2
10080,58150,12570,23870,184.7,576.2,1770,61.74,72.93,9.01,2,4
51050,20680,27770,25890,697.2,2763,5767,59.27,55.48,5.87,2,3
56690,23570,28570,31000,626.7,2413,5561,61.79,54.39,5.68,1,5
40030,34340,25580,26950,467.8,1708,4423,62.19,54.39,8.05,2,5
15230,51140,16830,27990,260.6,905.7,2545,62.14,72.66,8.64,2,3
15610,55730,15910,24720,219,652.1,2209,61.66,100.3,11.13,2,4
15900,56330,16210,26750,220.1,663.1,2254,61.55,100.42,11.2,2,4
36030,49420,20290,28420,267.1,853.5,2901,61.61,100.15,12.68,1,1
51570,27640,29130,31060,531,1927,5144,61.51,54.43,5.83,1,5
104500,7305,6026,65790,3355,25270,7770,54.42,54.43,8.3,1,6
37010,41430,24110,33090,410.9,1474,3991,62.5,99.87,12.17,2,5
12230,59490,10660,20870,165,486.7,1482,63.74,100.03,10.74,1,2
44180,28720,30010,32920,514.8,1908,5256,58.47,55.52,6.21,2,4
55800,22680,27230,32150,670.8,2954,5860,59.18,54.08,7.04,2,5
55310,22310,28050,32300,658.6,2780,5832,60.27,54.04,6.67,2,5
17400,58320,15030,29850,223.1,676.3,2131,63.99,99.91,12.42,2,1
9062,61440,8382,20180,150,444.9,1202,63.82,100.07,10.43,1,2
20490,52330,19310,27680,248.9,781.9,2717,61.1,100.15,10.93,2,4
46360,32750,28910,23040,400.5,1384,4527,59.81,54.74,6.83,1,1
80640,7305,7248,51330,2512,17970,7725,63.74,99.87,11.6,1,6
35220,33000,27170,18180,337.3,1161,4058,61.55,54.39,5.47,1,2
80850,3840,14850,34290,1930,10120,7283,62.93,54,6.16,1,6
34820,30550,27270,14430,337.3,1125,4032,61.44,54.43,5.5,1,2
27090,42850,22260,19620,303.2,995.9,3279,61.38,100.22,10.94,2,4
54880,23330,27740,28720,645.2,2761,5761,60.28,54.16,6.67,2,5
20760,60920,15040,35160,203.8,576.7,2042,63.89,99.79,11.95,1,1
34450,29090,26850,17180,459.8,1582,4466,59.32,55.56,6.24,2,2
28690,43740,22750,27330,355.2,1187,3529,61.6,99.72,10.81,2,3
39250,30340,27800,16520,413.3,1442,4446,62.27,54.31,6.17,2,1
40300,30260,28610,20580,429.2,1504,4620,61.59,54.39,6.24,2,1
32310,46490,22350,40940,367.9,1300,3590,61.81,99.87,12.77,2,5
87860,7277,6014,45280,3191,28280,7924,53.72,99.91,16.11,2,6
